STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130909,0.00,0.0,0.0,-9999,73,57,4.3,60,180,12.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130910,0.01,0.0,0.0,-9999,87,68,5.8,240,250,12.1,21.9,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130911,0.00,0.0,0.0,-9999,96,77,4.5,260,250,12.1,21.0,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130912,1.60,0.0,0.0,-9999,87,70,4.0,290,290,15.0,23.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130913,0.06,0.0,0.0,-9999,77,59,5.1,290,300,14.1,23.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130914,0.00,0.0,0.0,-9999,67,54,4.7,290,270,12.1,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130915,0.00,0.0,0.0,-9999,73,51,3.8,290,160,8.9,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130916,0.03,0.0,0.0,-9999,73,56,4.7,20,20,14.1,21.0,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130917,0.00,0.0,0.0,-9999,65,50,4.7,60,40,17.0,25.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130918,0.00,0.0,0.0,-9999,72,51,2.7,250,240,8.9,15.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130919,0.00,0.0,0.0,-9999,78,55,2.5,270,170,8.1,13.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130920,0.00,0.0,0.0,-9999,79,60,3.1,220,160,8.9,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130921,0.72,0.0,0.0,-9999,77,61,4.5,180,180,16.1,28.0,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130922,0.45,0.0,0.0,-9999,69,54,5.8,300,290,14.1,23.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130923,0.00,0.0,0.0,-9999,66,50,4.0,360,290,12.1,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130924,0.00,0.0,0.0,-9999,73,47,4.0,270,290,12.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130925,0.00,0.0,0.0,-9999,73,52,1.8,280,30,6.9,11.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130926,0.00,0.0,0.0,-9999,71,58,3.6,70,20,10.1,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130927,0.00,0.0,0.0,-9999,69,57,4.7,70,60,10.1,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130928,0.00,0.0,0.0,-9999,73,56,4.5,60,80,12.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130929,0.00,0.0,0.0,-9999,72,57,3.1,70,60,8.9,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130930,0.00,0.0,0.0,-9999,75,56,3.4,250,260,12.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131001,0.00,0.0,0.0,-9999,82,59,2.0,280,260,10.1,15.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131002,0.00,0.0,0.0,-9999,83,64,4.0,270,270,13.0,21.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131003,0.00,0.0,0.0,-9999,78,63,1.6,260,260,6.9,12.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131004,0.00,0.0,0.0,-9999,86,66,2.9,60,290,8.9,14.1,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131005,0.00,0.0,0.0,-9999,76,64,3.6,150,160,8.1,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131006,0.00,0.0,0.0,-9999,70,65,5.8,140,140,10.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131007,0.25,0.0,0.0,-9999,76,60,5.8,270,260,15.0,29.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131008,0.00,0.0,0.0,-9999,67,54,6.0,60,30,13.0,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131009,0.00,0.0,0.0,-9999,62,53,8.5,60,70,18.1,27.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131010,0.00,0.0,0.0,-9999,65,54,8.9,70,40,16.1,25.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131011,0.02,0.0,0.0,-9999,68,60,9.4,70,80,17.0,25.1,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131012,0.00,0.0,0.0,-9999,72,60,11.2,60,70,21.0,29.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131013,0.00,0.0,0.0,-9999,65,56,8.5,70,80,17.0,25.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131014,0.00,0.0,0.0,-9999,66,52,2.5,60,180,8.1,12.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131015,0.00,0.0,0.0,-9999,72,53,2.9,180,180,8.1,13.0,-9999,-9999,-9999,-9999,-9999
